Experiment,Requests,Concurrency,Success,Failed,RPS,DropoutPercent,p50_ms,p95_ms,p99_ms,avg_ms,ElapsedSec
1_Backend_Sys2,5000,40,5000,0,23285.01,0.00%,1.52ms,3.19ms,4.52ms,1.69ms,0.215
3_Backends_Sys2_Sys3_Sys4,5000,40,5000,0,20734.22,0.00%,1.68ms,3.90ms,5.75ms,1.90ms,0.241
1_Backend_Delayed_20ms,1000,40,1000,0,1690.07,0.00%,23.54ms,26.40ms,27.78ms,23.57ms,0.592
3_Backends_Delayed_20ms,1000,40,1000,0,1765.78,0.00%,22.17ms,25.47ms,27.02ms,22.54ms,0.566
3_Backends_Sys3_Killed_Failover,2000,40,2000,0,21364.84,0.00%,1.66ms,3.75ms,5.26ms,1.83ms,0.094
1_Backend_Timeout_Dropout,100,10,0,100,0.00,100.00%,0.21ms,308.43ms,308.75ms,31.00ms,0.312
1_Backend_Sys2,5000,40,0,5000,0.00,100.00%,23.30ms,96.13ms,110.98ms,28.59ms,3.585
3_Backends_Cluster,5000,40,0,5000,0.00,100.00%,18.58ms,90.55ms,117.28ms,26.58ms,3.334
1_Backend_Sys2,5000,40,5000,0,1556.35,0.00%,20.20ms,69.83ms,124.79ms,25.59ms,3.213
3_Backends_Cluster,5000,40,5000,0,1305.45,0.00%,14.59ms,116.85ms,180.55ms,30.53ms,3.830
