timestamp_sec,url,cpu_percent,load_avg_1m,valkey_rtt_ms,active_ws_connections
1789022191,https://10.1.75.51:5271/health,3.70,0.69,36.34,0
1789022193,https://10.1.75.51:5271/health,7.00,0.79,62.82,0
1789022195,https://10.1.75.51:5271/health,6.90,0.79,57.42,0
1789022197,https://10.1.75.51:5271/health,6.00,0.79,122.05,0
1789022199,https://10.1.75.51:5271/health,7.90,0.89,139.95,0
1789022201,https://10.1.75.51:5271/health,7.00,0.89,31.49,0
1789022203,https://10.1.75.51:5271/health,5.70,0.89,68.01,0
1789022205,https://10.1.75.51:5271/health,6.60,0.98,304.82,0
1789022207,https://10.1.75.51:5271/health,7.30,0.98,71.45,0
1789022209,https://10.1.75.51:5271/health,7.60,3.22,97.83,0
1789022211,https://10.1.75.51:5271/health,5.90,3.22,28.33,0
1789022213,https://10.1.75.51:5271/health,5.90,3.12,64.33,0
1789022215,https://10.1.75.51:5271/health,7.60,3.12,148.41,0
1789022217,https://10.1.75.51:5271/health,6.10,3.12,85.74,0
1789022219,https://10.1.75.51:5271/health,7.60,3.11,87.09,0
1789022221,https://10.1.75.51:5271/health,5.90,3.11,54.36,0
1789022223,https://10.1.75.51:5271/health,6.50,3.02,19.09,0
1789022225,https://10.1.75.51:5271/health,6.90,3.02,71.08,0
1789022227,https://10.1.75.51:5271/health,7.80,3.02,21.43,0
1789022229,https://10.1.75.51:5271/health,7.60,2.94,109.80,0
1789022231,https://10.1.75.51:5271/health,9.40,2.94,142.57,0
1789022233,https://10.1.75.51:5271/health,7.70,3.19,129.58,0
1789022235,https://10.1.75.51:5271/health,7.00,3.19,47.84,0
1789022237,https://10.1.75.51:5271/health,6.00,3.19,119.46,0
1789022239,https://10.1.75.51:5271/health,6.00,3.01,51.68,0
1789022241,https://10.1.75.51:5271/health,5.80,3.01,91.68,0
1789022243,https://10.1.75.51:5271/health,5.60,3.01,62.15,0
1789022245,https://10.1.75.51:5271/health,5.30,3.01,109.30,0
1789022311,https://10.1.75.51:5271/health,6.50,1.29,235.18,0
1789022313,https://10.1.75.51:5271/health,6.30,1.43,149.59,0
1789022315,https://10.1.75.51:5271/health,3.80,1.43,208.86,0
1789022317,https://10.1.75.51:5271/health,5.40,1.43,277.32,0
1789022319,https://10.1.75.51:5271/health,5.10,1.47,194.42,0
1789022321,https://10.1.75.51:5271/health,5.50,1.47,191.36,0
1789022323,https://10.1.75.51:5271/health,5.90,1.43,207.88,0
1789022325,https://10.1.75.51:5271/health,5.00,1.43,154.09,0
1789022327,https://10.1.75.51:5271/health,3.50,1.43,390.06,0
1789022329,https://10.1.75.51:5271/health,4.60,1.40,297.64,0
1789022331,https://10.1.75.51:5271/health,5.20,1.40,314.41,0
1789022333,https://10.1.75.51:5271/health,4.60,1.37,115.67,0
1789022335,https://10.1.75.51:5271/health,4.70,1.37,283.29,0
1789022337,https://10.1.75.51:5271/health,6.00,1.37,210.90,0
1789022339,https://10.1.75.51:5271/health,5.60,1.42,230.48,0
1789022341,https://10.1.75.51:5271/health,6.80,1.42,342.26,0
1789022343,https://10.1.75.51:5271/health,5.90,1.38,284.49,0
1789022345,https://10.1.75.51:5271/health,5.40,1.38,200.60,0
1789022347,https://10.1.75.51:5271/health,1.80,1.38,346.26,0
1789022349,https://10.1.75.51:5271/health,2.30,1.59,230.99,0
1789022351,https://10.1.75.51:5271/health,3.60,1.59,265.48,0
1789022353,https://10.1.75.51:5271/health,5.60,1.55,200.32,0
1789022355,https://10.1.75.51:5271/health,3.60,1.55,331.84,0
1789022357,https://10.1.75.51:5271/health,4.00,1.55,251.66,0
1789022359,https://10.1.75.51:5271/health,3.80,1.50,308.11,0
1789022361,https://10.1.75.51:5271/health,4.30,1.50,230.19,0
1789022363,https://10.1.75.51:5271/health,4.60,1.46,273.22,0
1789022365,https://10.1.75.51:5271/health,2.80,1.46,238.39,0
1789022369,https://10.1.75.51:5271/health,3.90,1.50,360.92,0
1789022371,https://10.1.75.51:5271/health,3.30,1.50,132.99,0
1789022373,https://10.1.75.51:5271/health,3.60,1.46,346.23,0
1789022375,https://10.1.75.51:5271/health,4.30,1.46,163.23,0
1789022377,https://10.1.75.51:5271/health,4.10,1.46,257.21,0
1789022379,https://10.1.75.51:5271/health,7.00,1.43,405.34,0
1789022381,https://10.1.75.51:5271/health,3.80,1.43,256.87,0
1789022383,https://10.1.75.51:5271/health,4.20,1.43,299.18,0
1789022385,https://10.1.75.51:5271/health,3.20,1.47,136.87,0
1789022387,https://10.1.75.51:5271/health,4.20,1.47,211.96,0
1789022389,https://10.1.75.51:5271/health,4.10,1.60,230.27,0
1789022391,https://10.1.75.51:5271/health,4.20,1.60,393.32,0
1789022393,https://10.1.75.51:5271/health,4.10,1.60,343.80,0
1789022395,https://10.1.75.51:5271/health,4.80,1.63,169.33,0
1789022397,https://10.1.75.51:5271/health,5.90,1.63,403.46,0
1789022399,https://10.1.75.51:5271/health,7.70,1.58,258.05,0
1789022401,https://10.1.75.51:5271/health,4.90,1.58,349.06,0
1789022403,https://10.1.75.51:5271/health,5.40,1.58,500.70,0
1789022405,https://10.1.75.51:5271/health,4.50,1.53,246.47,0
1789022407,https://10.1.75.51:5271/health,4.60,1.53,368.01,0
1789022409,https://10.1.75.51:5271/health,3.00,1.49,191.83,0
1789022411,https://10.1.75.51:5271/health,3.20,1.49,407.82,0
1789022413,https://10.1.75.51:5271/health,3.30,1.49,84.20,0
1789022415,https://10.1.75.51:5271/health,3.10,1.61,201.81,0
1789022417,https://10.1.75.51:5271/health,3.30,1.61,288.89,0
1789022419,https://10.1.75.51:5271/health,3.30,1.56,229.89,0
